shortName,name,averageDelay,passagesCount,latitude,longitude
2877,Giebułtów Trojadyn (nż),1.2,5,50.1357325,19.871455
1058,Michałowice Banasiówka (nż),3.2222222222222223,9,50.14583611111111,19.967784444444444
1193,Krzyszkowice Kasztanowa II (nż),6.642857142857143,14,49.9905,20.0244
2573,Albatrosów,6.676470588235294,68,50.037638055555554,20.018576111111113
2691,Chmieleniec,3.375,72,50.020473611111115,19.898092777777777
284,Kaszów Tyrałówka (nż),1.380952380952381,21,50.03962055555556,19.73351138888889
3044,Rżąka,3.619047619047619,42,50.006281944444446,20.010784444444443
3195,Powstańców Magazyny,0.6666666666666666,3,50.1062,20.00143
3264,Warmijska,12.812631318749228,8091,50.07214805555556,19.906573055555555
3283,Czulice Kościół,0.3333333333333333,3,50.127,20.188
408,Rondo Czyżyńskie,4.756821829855538,1246,50.07341111111111,20.017646111111112
520,Ruszcza,3.7083333333333335,24,50.086835,20.14639888888889
202,Zabierzów I,6.545454545454546,11,50.115698611111114,19.791740833333332
3128,Sawiczewskich,3.7804232804232805,756,49.98997027777778,19.946263333333334
327,Węgrzce Starostwo Powiatowe,2.5238095238095237,21,50.11448111111111,19.96681388888889
3307,Rusocice Stacja Paliw (nż),-0.6,15,50.005070555555555,19.588158611111112
484,Wadów Szkoła,4.0,16,50.10040861111111,20.125714444444444
96,Majora,4.7217700915564595,1966,50.08841,19.964147222222223
221,Balice Autostrada (nż),2.7176079734219267,903,50.08534916666667,19.807869166666666
2979,Węgrzce Bosutów Sudół (nż),2.68,25,50.10933055555556,19.98055527777778
610,Rondo Matecznego,6.141538461538461,8125,50.03668944444444,19.940620555555554
1071,Bosutów Dziekanowice (nż),2.84375,32,50.11,19.9911
2638,Libertów Dolny (nż),2.4545454545454546,11,49.9797,19.9109
43,Wyki,8.661971830985916,71,50.09269111111111,19.922248055555556
503,Zabłocie Kościelnickie (nż),1.3333333333333333,9,50.09486444444445,20.17418361111111
633,Prosta,1.9733727810650887,338,50.025215277777775,19.991873055555555
897,Cmentarz Batowice,-0.10344827586206896,29,50.101465,19.982785
2479,Skawina Tyniecka,3.8,20,49.9845,19.8163
273,Na Krępaku (nż),2.372305140961857,1206,50.04532361111111,19.860005277777777
2856,Gaj Kwiatowa (nż),3.5,2,49.9579,19.9131
3149,Park Zdrojowy,1.4966571155682904,1047,49.99286027777778,19.93623388888889
3296,Mników Remiza (nż),2.9047619047619047,21,50.0598975,19.72210638888889
421,Os.Górali,5.081967213114754,61,50.081161944444446,20.040895
5,UR Balicka,3.4876543209876543,1782,50.08090111111111,19.865463055555555
1307,Niepołomice Wielicka (nż),5.3076923076923075,13,50.0194,20.1923
